"","PlayerName","pos","points","value"
"49","Carson Palmer","qb",281.152,17.9047212501564
"50","Sam Bradford","qb",281.064,17.8431528588803
"51","Brandin Cooks","wr",95.55,17.0007853236933
"52","Latavius Murray","rb",148.11,16.815380509055
"53","Jordan Matthews","wr",93.315,15.4370881134417
"54","Greg Olsen","te",75.315,13.8139214343438
"55","Travis Kelce","te",74.845,13.4850902536645
"56","DeAndre Hopkins","wr",90.15,13.222724949931
"57","Julian Edelman","wr",89.445,12.729478178912
"58","Alex Smith","qb",272.484,11.840234709458
"59","Andre Johnson","wr",88.02,11.7324900247247
"60","Martellus Bennett","te",71.435,11.0993150917146
"61","Jason Witten","te",71.415,11.0853222755155
"62","Joseph Randle","rb",139.68,10.917408481126
"63","DeSean Jackson","wr",86.41,10.6060683206956
"64","Davante Adams","wr",85.49,9.96239877553611
"65","Sammy Watkins","wr",84.965,9.59508735030923
"66","Golden Tate","wr",83.85,8.81498784720831
"67","Jeremy Maclin","wr",83.045,8.25177699519374
"68","Keenan Allen","wr",82.7,8.01040091575893
"69","Jonathan Stewart","rb",135.39,7.91594940641488
"70","Brandon Marshall","wr",82.355,7.76902483632412
"71","LeGarrette Blount","rb",134.745,7.46468108399326
"72","Julius Thomas","te",66.2,7.43669545159503
"73","Martavis Bryant","wr",81.55,7.20581398430955
"74","Andy Dalton","qb",265.772,7.14424559303341
"75","T.J. Yeldon","rb",133.595,6.6600941525439
"76","Tom Brady","qb",263.576,5.6078343743701
"77","Dwayne Allen","te",63.56,5.58964371331123
"78","Zach Ertz","te",61.41,4.08541597190588
"79","Mike Wallace","wr",76.835,3.90700756536709
"80","Vincent Jackson","wr",76.805,3.88601834106842
"81","Amari Cooper","wr",76.005,3.32630569310364
"82","Andre Ellington","rb",127.88,2.66164692364546
"83","Eric Decker","wr",74.78,2.46924570090756
"84","Roddy White","wr",74.515,2.28384088626922
"85","Jarvis Landry","wr",74.34,2.16140374452693
"86","Michael Floyd","wr",74.235,2.08794145948156
"87","Steve Smith","wr",73.375,1.4862503629194
"88","Coby Fleener","te",57.57,1.39879526167491
"89","Nelson Agholor","wr",73.065,1.26936171183305
"90","Jordan Cameron","te",57.25,1.174910202489
"91","Charles Johnson","wr",72.705,1.0174910202489
"92","Marcus Mariota","qb",256.994,1.00279856323984
"93","Jameis Winston","qb",256.99,1
"94","Rashad Jennings","rb",125.505,1
"95","Allen Robinson","wr",72.68,1
"96","Antonio Gates","te",57,1
"97","Stephen Gostkowski","k",0,1
"98","Justin Tucker","k",0,1
"99","Connor Barth","k",0,1
"100","Steven Hauschka","k",0,1
"101","Mason Crosby","k",0,1
"102","Cody Parkey","k",0,1
"103","Adam Vinatieri","k",0,1
"104","Dan Bailey","k",0,1
"105","Matt Bryant","k",0,1
"106","Garrett Hartley","k",0,1
"107","Chandler Catanzaro","k",0,1
"108","Dan Carpenter","k",0,1
"109","Dustin Hopkins","k",0,1
"110","Josh Brown","k",0,1
"111","Blair Walsh","k",0,1
"112","Graham Gano","k",0,1
"113","Caleb Sturgis","k",0,1
"114","Cairo Santos","k",0,1
"115","Phil Dawson","k",0,1
"116","Nick Novak","k",0,1
"117","Nick Folk","k",0,1
"118","Randy Bullock","k",0,1
"119","Greg Zuerlein","k",0,1
"120","Mike Nugent","k",0,1
"121","Matt Prater","k",0,1
"122","Kai Forbath","k",0,1
"123","Sebastian Janikowski","k",0,1
"124","Robbie Gould","k",0,1
"125","Patrick Murray","k",0,1
"126","Travis Coons","k",0,1
"127","Ryan Succop","k",0,1
"128","Carey Spear","k",0,1
"129","Josh Scobee","k",0,1
"130","Brandon McManus","k",0,1
